=== Training config: ru ===
SLURM_ARRAY_TASK_ID: 3
GPU: NVIDIA H800
=== Whisper LoRA Fine-tuning: ru ===
Train TSV: /scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/ru/train.tsv
Dev TSV: /scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/dev.tsv
Model: openai/whisper-large-v3
LoRA r=16, alpha=32, dropout=0.1
Loading training data...
  Train samples: 129600
Loading dev data...
  Dev samples: 16400
Processing datasets with 4 workers...
  Map completed in 1992s
Filtering by length...
  After filtering - Train: 129597, Dev: 16399
Loading model...
  Model loaded in 12s
Applying LoRA...
trainable params: 24,903,680 || all params: 1,568,394,240 || trainable%: 1.5878
Checkpoint save_steps=2000, eval_steps=2000
Initializing trainer...
Starting training... (40495 total steps, 5 epochs)
{'loss': 1.14, 'grad_norm': 1.3759597539901733, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 0.4413, 'grad_norm': 1.1083040237426758, 'learning_rate': 4e-05, 'epoch': 0.02}
{'loss': 0.482, 'grad_norm': 1.3339985609054565, 'learning_rate': 6e-05, 'epoch': 0.04}
{'loss': 0.4481, 'grad_norm': 0.8373932838439941, 'learning_rate': 7.98e-05, 'epoch': 0.05}
{'loss': 0.4148, 'grad_norm': 0.9463621377944946, 'learning_rate': 9.98e-05, 'epoch': 0.06}
{'loss': 0.3994, 'grad_norm': 0.7084619402885437, 'learning_rate': 9.975250000000001e-05, 'epoch': 0.07}
{'loss': 0.4766, 'grad_norm': 0.5143240690231323, 'learning_rate': 9.95025e-05, 'epoch': 0.09}
{'loss': 0.4368, 'grad_norm': 0.721383810043335, 'learning_rate': 9.92525e-05, 'epoch': 0.1}
{'loss': 0.3853, 'grad_norm': 0.6646817922592163, 'learning_rate': 9.90025e-05, 'epoch': 0.11}
{'loss': 0.4189, 'grad_norm': 0.6144980192184448, 'learning_rate': 9.87525e-05, 'epoch': 0.12}
{'loss': 0.4331, 'grad_norm': 0.7093678116798401, 'learning_rate': 9.850250000000001e-05, 'epoch': 0.14}
{'loss': 0.3867, 'grad_norm': 0.6223705410957336, 'learning_rate': 9.82525e-05, 'epoch': 0.15}
{'loss': 0.4704, 'grad_norm': 0.47962361574172974, 'learning_rate': 9.800250000000001e-05, 'epoch': 0.16}
{'loss': 0.3942, 'grad_norm': 0.6748152375221252, 'learning_rate': 9.77525e-05, 'epoch': 0.17}
{'loss': 0.3828, 'grad_norm': 0.502644419670105, 'learning_rate': 9.750250000000001e-05, 'epoch': 0.19}
{'loss': 0.4186, 'grad_norm': 1.0360790491104126, 'learning_rate': 9.72525e-05, 'epoch': 0.2}
{'loss': 0.4476, 'grad_norm': 0.6041950583457947, 'learning_rate': 9.700250000000001e-05, 'epoch': 0.21}
{'loss': 0.4074, 'grad_norm': 0.5882247686386108, 'learning_rate': 9.67525e-05, 'epoch': 0.22}
{'loss': 0.4261, 'grad_norm': 0.5225325226783752, 'learning_rate': 9.650250000000001e-05, 'epoch': 0.23}
{'loss': 0.3709, 'grad_norm': 0.42318961024284363, 'learning_rate': 9.625250000000001e-05, 'epoch': 0.25}
{'eval_loss': 0.18159350752830505, 'eval_wer': 7.440897497458796, 'eval_runtime': 9392.5641, 'eval_samples_per_second': 1.746, 'eval_steps_per_second': 0.437, 'epoch': 0.25}
{'loss': 0.4239, 'grad_norm': 0.9006388187408447, 'learning_rate': 9.60025e-05, 'epoch': 0.26}
{'loss': 0.3682, 'grad_norm': 0.8131681680679321, 'learning_rate': 9.57525e-05, 'epoch': 0.27}
{'loss': 0.4211, 'grad_norm': 0.6678454279899597, 'learning_rate': 9.55025e-05, 'epoch': 0.28}
{'loss': 0.3968, 'grad_norm': 0.6514779329299927, 'learning_rate': 9.52525e-05, 'epoch': 0.3}
{'loss': 0.4108, 'grad_norm': 0.6457487344741821, 'learning_rate': 9.50025e-05, 'epoch': 0.31}
{'loss': 0.4121, 'grad_norm': 0.46079206466674805, 'learning_rate': 9.47525e-05, 'epoch': 0.32}
{'loss': 0.4005, 'grad_norm': 0.8000001311302185, 'learning_rate': 9.45025e-05, 'epoch': 0.33}
{'loss': 0.4065, 'grad_norm': 0.7335088849067688, 'learning_rate': 9.42525e-05, 'epoch': 0.35}
{'loss': 0.4707, 'grad_norm': 0.4584263563156128, 'learning_rate': 9.40025e-05, 'epoch': 0.36}
{'loss': 0.4116, 'grad_norm': 0.6388513445854187, 'learning_rate': 9.375250000000001e-05, 'epoch': 0.37}
{'loss': 0.4001, 'grad_norm': 0.37717941403388977, 'learning_rate': 9.350250000000001e-05, 'epoch': 0.38}
{'loss': 0.4234, 'grad_norm': 0.5227376222610474, 'learning_rate': 9.325250000000002e-05, 'epoch': 0.4}
{'loss': 0.4152, 'grad_norm': 0.5089589953422546, 'learning_rate': 9.300250000000001e-05, 'epoch': 0.41}
{'loss': 0.4063, 'grad_norm': 0.41020748019218445, 'learning_rate': 9.27525e-05, 'epoch': 0.42}
{'loss': 0.4138, 'grad_norm': 0.6247276663780212, 'learning_rate': 9.25025e-05, 'epoch': 0.43}
{'loss': 0.4203, 'grad_norm': 0.5965994596481323, 'learning_rate': 9.22525e-05, 'epoch': 0.44}
{'loss': 0.3953, 'grad_norm': 0.35119640827178955, 'learning_rate': 9.20025e-05, 'epoch': 0.46}
{'loss': 0.3587, 'grad_norm': 0.5978536009788513, 'learning_rate': 9.17525e-05, 'epoch': 0.47}
{'loss': 0.3907, 'grad_norm': 0.5489758849143982, 'learning_rate': 9.15025e-05, 'epoch': 0.48}
{'loss': 0.4083, 'grad_norm': 0.3478633165359497, 'learning_rate': 9.125250000000001e-05, 'epoch': 0.49}
{'eval_loss': 0.17934927344322205, 'eval_wer': 7.268781531208492, 'eval_runtime': 9375.2144, 'eval_samples_per_second': 1.749, 'eval_steps_per_second': 0.437, 'epoch': 0.49}
{'loss': 0.393, 'grad_norm': 0.4710010886192322, 'learning_rate': 9.10025e-05, 'epoch': 0.51}
{'loss': 0.4158, 'grad_norm': 0.5569965243339539, 'learning_rate': 9.075250000000001e-05, 'epoch': 0.52}
{'loss': 0.4287, 'grad_norm': 0.7085016369819641, 'learning_rate': 9.05025e-05, 'epoch': 0.53}
{'loss': 0.4171, 'grad_norm': 0.5188023447990417, 'learning_rate': 9.025250000000001e-05, 'epoch': 0.54}
{'loss': 0.3953, 'grad_norm': 0.3413029611110687, 'learning_rate': 9.00025e-05, 'epoch': 0.56}
{'loss': 0.3855, 'grad_norm': 0.7059357166290283, 'learning_rate': 8.975250000000001e-05, 'epoch': 0.57}
{'loss': 0.4113, 'grad_norm': 0.8719676733016968, 'learning_rate': 8.95025e-05, 'epoch': 0.58}
{'loss': 0.4187, 'grad_norm': 0.7442179918289185, 'learning_rate': 8.92525e-05, 'epoch': 0.59}
{'loss': 0.3952, 'grad_norm': 0.6491373777389526, 'learning_rate': 8.90025e-05, 'epoch': 0.6}
