=== Training config: ur ===
SLURM_ARRAY_TASK_ID: 4
GPU: NVIDIA H800
=== Whisper LoRA Fine-tuning: ur ===
Train TSV: /scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/ur/train.tsv
Dev TSV: /scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/dev.tsv
Model: openai/whisper-large-v3
LoRA r=16, alpha=32, dropout=0.1
Loading training data...
  Train samples: 129600
Loading dev data...
  Dev samples: 16400
Processing datasets with 4 workers...
  Map completed in 1990s
Filtering by length...
  After filtering - Train: 129597, Dev: 16399
Loading model...
  Model loaded in 4s
Applying LoRA...
trainable params: 24,903,680 || all params: 1,568,394,240 || trainable%: 1.5878
Checkpoint save_steps=2000, eval_steps=2000
Initializing trainer...
Starting training... (40495 total steps, 5 epochs)
Resuming from /scratch/vemotionsys/rmfrieske/whisper_hallucination/ur/checkpoint-12000
{'loss': 0.1053, 'grad_norm': 0.5299583673477173, 'learning_rate': 7.10075e-05, 'epoch': 1.49}
{'loss': 0.0881, 'grad_norm': 0.4169766902923584, 'learning_rate': 7.07575e-05, 'epoch': 1.51}
{'loss': 0.0921, 'grad_norm': 0.2906910479068756, 'learning_rate': 7.05075e-05, 'epoch': 1.52}
{'loss': 0.101, 'grad_norm': 0.715376615524292, 'learning_rate': 7.02575e-05, 'epoch': 1.53}
{'loss': 0.0882, 'grad_norm': 0.4234277009963989, 'learning_rate': 7.00075e-05, 'epoch': 1.54}
{'loss': 0.0903, 'grad_norm': 0.7644254565238953, 'learning_rate': 6.97575e-05, 'epoch': 1.56}
{'loss': 0.0944, 'grad_norm': 0.6777543425559998, 'learning_rate': 6.95075e-05, 'epoch': 1.57}
{'loss': 0.0972, 'grad_norm': 0.7132127285003662, 'learning_rate': 6.925750000000001e-05, 'epoch': 1.58}
{'loss': 0.0907, 'grad_norm': 0.35227522253990173, 'learning_rate': 6.90075e-05, 'epoch': 1.59}
{'loss': 0.0967, 'grad_norm': 0.5138012170791626, 'learning_rate': 6.875750000000001e-05, 'epoch': 1.6}
{'loss': 0.0976, 'grad_norm': 0.38602960109710693, 'learning_rate': 6.850750000000001e-05, 'epoch': 1.62}
{'loss': 0.0946, 'grad_norm': 0.6361442804336548, 'learning_rate': 6.82575e-05, 'epoch': 1.63}
{'loss': 0.0926, 'grad_norm': 0.5038125514984131, 'learning_rate': 6.80075e-05, 'epoch': 1.64}
{'loss': 0.0979, 'grad_norm': 0.4227714538574219, 'learning_rate': 6.77575e-05, 'epoch': 1.65}
{'loss': 0.0996, 'grad_norm': 0.3982878625392914, 'learning_rate': 6.75075e-05, 'epoch': 1.67}
{'loss': 0.0929, 'grad_norm': 0.5240499973297119, 'learning_rate': 6.72575e-05, 'epoch': 1.68}
{'loss': 0.1011, 'grad_norm': 0.5211746096611023, 'learning_rate': 6.70075e-05, 'epoch': 1.69}
{'loss': 0.0924, 'grad_norm': 0.8814236521720886, 'learning_rate': 6.67575e-05, 'epoch': 1.7}
{'loss': 0.0925, 'grad_norm': 0.45522359013557434, 'learning_rate': 6.65075e-05, 'epoch': 1.72}
{'loss': 0.0992, 'grad_norm': 0.4796208143234253, 'learning_rate': 6.625750000000001e-05, 'epoch': 1.73}
{'eval_loss': 0.20122359693050385, 'eval_wer': 7.796354384280075, 'eval_runtime': 7275.3554, 'eval_samples_per_second': 2.254, 'eval_steps_per_second': 0.564, 'epoch': 1.73}
{'loss': 0.0992, 'grad_norm': 0.22593221068382263, 'learning_rate': 6.60075e-05, 'epoch': 1.74}
{'loss': 0.1038, 'grad_norm': 0.47452104091644287, 'learning_rate': 6.575750000000001e-05, 'epoch': 1.75}
{'loss': 0.0963, 'grad_norm': 0.712575376033783, 'learning_rate': 6.55075e-05, 'epoch': 1.77}
{'loss': 0.096, 'grad_norm': 0.7018605470657349, 'learning_rate': 6.525750000000001e-05, 'epoch': 1.78}
{'loss': 0.0964, 'grad_norm': 0.3658570945262909, 'learning_rate': 6.50075e-05, 'epoch': 1.79}
{'loss': 0.0919, 'grad_norm': 0.5753183364868164, 'learning_rate': 6.47575e-05, 'epoch': 1.8}
{'loss': 0.1012, 'grad_norm': 0.4486004412174225, 'learning_rate': 6.450749999999999e-05, 'epoch': 1.81}
{'loss': 0.0949, 'grad_norm': 0.5597848296165466, 'learning_rate': 6.42575e-05, 'epoch': 1.83}
{'loss': 0.0974, 'grad_norm': 0.5537720918655396, 'learning_rate': 6.400749999999999e-05, 'epoch': 1.84}
{'loss': 0.0905, 'grad_norm': 0.9337441921234131, 'learning_rate': 6.37575e-05, 'epoch': 1.85}
{'loss': 0.0982, 'grad_norm': 0.518692135810852, 'learning_rate': 6.35075e-05, 'epoch': 1.86}
{'loss': 0.0965, 'grad_norm': 0.8078578114509583, 'learning_rate': 6.32575e-05, 'epoch': 1.88}
{'loss': 0.0904, 'grad_norm': 0.5458692908287048, 'learning_rate': 6.300750000000001e-05, 'epoch': 1.89}
{'loss': 0.0946, 'grad_norm': 0.6609473824501038, 'learning_rate': 6.27575e-05, 'epoch': 1.9}
{'loss': 0.0934, 'grad_norm': 0.6470470428466797, 'learning_rate': 6.250750000000001e-05, 'epoch': 1.91}
{'loss': 0.0975, 'grad_norm': 0.37259891629219055, 'learning_rate': 6.22575e-05, 'epoch': 1.93}
{'loss': 0.0985, 'grad_norm': 0.5725136399269104, 'learning_rate': 6.200750000000001e-05, 'epoch': 1.94}
{'loss': 0.0983, 'grad_norm': 0.4808827042579651, 'learning_rate': 6.17575e-05, 'epoch': 1.95}
{'loss': 0.088, 'grad_norm': 0.36392995715141296, 'learning_rate': 6.15075e-05, 'epoch': 1.96}
{'loss': 0.0968, 'grad_norm': 0.5122990608215332, 'learning_rate': 6.125750000000001e-05, 'epoch': 1.98}
