=== Training config: uu ===
SLURM_ARRAY_TASK_ID: 1
GPU: NVIDIA H800
=== Whisper LoRA Fine-tuning: uu ===
Train TSV: /scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/uu/train.tsv
Dev TSV: /scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/dev.tsv
Model: openai/whisper-large-v3
LoRA r=16, alpha=32, dropout=0.1
Loading training data...
  Train samples: 129600
Loading dev data...
  Dev samples: 16400
Processing datasets with 4 workers...
  Map completed in 2044s
Filtering by length...
  After filtering - Train: 129597, Dev: 16399
Loading model...
  Model loaded in 1s
Applying LoRA...
trainable params: 24,903,680 || all params: 1,568,394,240 || trainable%: 1.5878
Checkpoint save_steps=2000, eval_steps=2000
Initializing trainer...
Starting training... (40495 total steps, 5 epochs)
Resuming from /scratch/vemotionsys/rmfrieske/whisper_hallucination/uu/checkpoint-12000
{'loss': 0.3541, 'grad_norm': 0.6424585580825806, 'learning_rate': 7.10075e-05, 'epoch': 1.49}
{'loss': 0.3125, 'grad_norm': 0.7784667611122131, 'learning_rate': 7.07575e-05, 'epoch': 1.51}
{'loss': 0.2952, 'grad_norm': 0.9764692783355713, 'learning_rate': 7.05075e-05, 'epoch': 1.52}
{'loss': 0.3516, 'grad_norm': 0.8465484976768494, 'learning_rate': 7.02575e-05, 'epoch': 1.53}
{'loss': 0.3493, 'grad_norm': 0.861346960067749, 'learning_rate': 7.00075e-05, 'epoch': 1.54}
{'loss': 0.3442, 'grad_norm': 0.5599645376205444, 'learning_rate': 6.97575e-05, 'epoch': 1.56}
{'loss': 0.3553, 'grad_norm': 1.017515778541565, 'learning_rate': 6.95075e-05, 'epoch': 1.57}
{'loss': 0.3068, 'grad_norm': 0.7009949684143066, 'learning_rate': 6.925750000000001e-05, 'epoch': 1.58}
{'loss': 0.3267, 'grad_norm': 0.5604140162467957, 'learning_rate': 6.90075e-05, 'epoch': 1.59}
{'loss': 0.3426, 'grad_norm': 0.6502278447151184, 'learning_rate': 6.875750000000001e-05, 'epoch': 1.6}
{'loss': 0.349, 'grad_norm': 0.8627570867538452, 'learning_rate': 6.850750000000001e-05, 'epoch': 1.62}
{'loss': 0.3, 'grad_norm': 0.354118674993515, 'learning_rate': 6.82575e-05, 'epoch': 1.63}
{'loss': 0.3877, 'grad_norm': 0.7240256667137146, 'learning_rate': 6.80075e-05, 'epoch': 1.64}
{'loss': 0.3416, 'grad_norm': 0.5957722067832947, 'learning_rate': 6.77575e-05, 'epoch': 1.65}
{'loss': 0.3744, 'grad_norm': 0.5212922096252441, 'learning_rate': 6.75075e-05, 'epoch': 1.67}
{'loss': 0.3231, 'grad_norm': 0.7290364503860474, 'learning_rate': 6.72575e-05, 'epoch': 1.68}
{'loss': 0.3479, 'grad_norm': 0.8096641302108765, 'learning_rate': 6.70075e-05, 'epoch': 1.69}
{'loss': 0.2912, 'grad_norm': 0.6464556455612183, 'learning_rate': 6.67575e-05, 'epoch': 1.7}
{'loss': 0.3703, 'grad_norm': 0.43701615929603577, 'learning_rate': 6.65075e-05, 'epoch': 1.72}
{'loss': 0.3326, 'grad_norm': 1.1074631214141846, 'learning_rate': 6.625750000000001e-05, 'epoch': 1.73}
{'eval_loss': 0.19650723040103912, 'eval_wer': 7.476443186140923, 'eval_runtime': 7252.4326, 'eval_samples_per_second': 2.261, 'eval_steps_per_second': 0.565, 'epoch': 1.73}
{'loss': 0.3165, 'grad_norm': 0.6207176446914673, 'learning_rate': 6.60075e-05, 'epoch': 1.74}
{'loss': 0.3578, 'grad_norm': 0.7888259291648865, 'learning_rate': 6.575750000000001e-05, 'epoch': 1.75}
{'loss': 0.3259, 'grad_norm': 0.838770866394043, 'learning_rate': 6.55075e-05, 'epoch': 1.77}
{'loss': 0.3329, 'grad_norm': 0.8898433446884155, 'learning_rate': 6.525750000000001e-05, 'epoch': 1.78}
{'loss': 0.3307, 'grad_norm': 0.6738944053649902, 'learning_rate': 6.50075e-05, 'epoch': 1.79}
{'loss': 0.3415, 'grad_norm': 0.5213301181793213, 'learning_rate': 6.47575e-05, 'epoch': 1.8}
{'loss': 0.3703, 'grad_norm': 0.9599376320838928, 'learning_rate': 6.450749999999999e-05, 'epoch': 1.81}
{'loss': 0.3303, 'grad_norm': 0.6368868947029114, 'learning_rate': 6.42575e-05, 'epoch': 1.83}
{'loss': 0.3745, 'grad_norm': 0.5817995071411133, 'learning_rate': 6.400749999999999e-05, 'epoch': 1.84}
{'loss': 0.3482, 'grad_norm': 1.0333788394927979, 'learning_rate': 6.37575e-05, 'epoch': 1.85}
{'loss': 0.3721, 'grad_norm': 0.7916163802146912, 'learning_rate': 6.35075e-05, 'epoch': 1.86}
{'loss': 0.3356, 'grad_norm': 0.6804412007331848, 'learning_rate': 6.32575e-05, 'epoch': 1.88}
{'loss': 0.3647, 'grad_norm': 0.9161401391029358, 'learning_rate': 6.300750000000001e-05, 'epoch': 1.89}
{'loss': 0.3081, 'grad_norm': 0.370999276638031, 'learning_rate': 6.27575e-05, 'epoch': 1.9}
{'loss': 0.3623, 'grad_norm': 0.5814900994300842, 'learning_rate': 6.250750000000001e-05, 'epoch': 1.91}
{'loss': 0.3046, 'grad_norm': 1.1425024271011353, 'learning_rate': 6.22575e-05, 'epoch': 1.93}
{'loss': 0.3282, 'grad_norm': 1.216537594795227, 'learning_rate': 6.200750000000001e-05, 'epoch': 1.94}
{'loss': 0.3189, 'grad_norm': 0.9010385274887085, 'learning_rate': 6.17575e-05, 'epoch': 1.95}
{'loss': 0.3189, 'grad_norm': 0.5667884349822998, 'learning_rate': 6.15075e-05, 'epoch': 1.96}
{'loss': 0.3793, 'grad_norm': 0.6498892903327942, 'learning_rate': 6.125750000000001e-05, 'epoch': 1.98}
