eval_config	perturbation	best_train_corpus	total	exact_or_template_copy	near_copy	copy_only_count	copy_only_ratio	strong_overlap	weak_overlap	novel_or_generic
base	full_noise_amp0.5_dur0.0	clean	209	0	0	0	0.0	4	82	123
base	full_noise_amp0.5_dur0.0	rr_64pct	34	0	0	0	0.0	2	7	25
base	full_noise_amp0.5_dur0.0	ru_64pct	494	0	0	0	0.0	36	370	88
rr_64pct	full_noise_amp0.5_dur0.0	clean	73	0	0	0	0.0	2	19	52
rr_64pct	full_noise_amp0.5_dur0.0	rr_64pct	63	0	0	0	0.0	1	29	33
rr_64pct	full_noise_amp0.5_dur0.0	ru_64pct	104	0	0	0	0.0	0	23	81
ru_64pct	full_noise_amp0.5_dur0.0	clean	220	0	0	0	0.0	156	36	28
ru_64pct	full_noise_amp0.5_dur0.0	rr_64pct	38	0	0	0	0.0	1	15	22
ru_64pct	full_noise_amp0.5_dur0.0	ru_64pct	301	0	0	0	0.0	47	180	74
base	full_noise_amp0.75_dur0.0	clean	140	0	0	0	0.0	2	89	49
base	full_noise_amp0.75_dur0.0	rr_64pct	22	0	0	0	0.0	0	6	16
base	full_noise_amp0.75_dur0.0	ru_64pct	701	0	0	0	0.0	79	565	57
rr_64pct	full_noise_amp0.75_dur0.0	clean	39	0	0	0	0.0	3	7	29
rr_64pct	full_noise_amp0.75_dur0.0	rr_64pct	44	0	0	0	0.0	0	34	10
rr_64pct	full_noise_amp0.75_dur0.0	ru_64pct	98	0	0	0	0.0	0	22	76
ru_64pct	full_noise_amp0.75_dur0.0	clean	264	0	0	0	0.0	202	28	34
ru_64pct	full_noise_amp0.75_dur0.0	rr_64pct	41	0	0	0	0.0	1	21	19
ru_64pct	full_noise_amp0.75_dur0.0	ru_64pct	397	0	0	0	0.0	22	336	39
